Rate,Rate_Name,Bandwidth,Delay,TCP-AAD_Avg_Mbps,Default_Avg_Mbps,Improvement_%
95,HT40-SGI-MCS5,100,50,76.06447832109913,82.1917630767438,-7.454864728870119
95,HT40-SGI-MCS5,100,100,67.65416736004468,62.9925125688363,7.400331564984443
95,HT40-SGI-MCS5,100,nodelay,83.1588870785672,88.57487448442069,-6.1145865996187165
95,HT40-SGI-MCS5,nolim,10,78.55642949106974,87.5620524952632,-10.284846857239486
95,HT40-SGI-MCS5,nolim,50,77.88134146840957,74.25673843980847,4.881177257117421
95,HT40-SGI-MCS5,nolim,100,73.80447104581434,75.5637992705242,-2.3282686176370397
95,HT40-SGI-MCS5,nolim,nodelay,81.63197190022571,86.4777237004197,-5.60346826077532
96,HT40-SGI-MCS6,20,10,19.8516908235183,19.851782677525144,-0.00046269903481916
96,HT40-SGI-MCS6,20,50,19.75864112553727,19.56045780713121,1.013183435480773
96,HT40-SGI-MCS6,20,100,19.58380094369751,19.630092634195652,-0.23582003081075803
96,HT40-SGI-MCS6,20,nodelay,19.39757811256339,19.280909668359595,0.6050982355632925
96,HT40-SGI-MCS6,50,10,47.27667285489222,47.07861675773435,0.4206922607286015
96,HT40-SGI-MCS6,50,50,48.20863338620006,48.16152853410777,0.09780597403368724
96,HT40-SGI-MCS6,50,100,45.55316405069137,46.996855751925935,-3.0718899767574355
96,HT40-SGI-MCS6,50,nodelay,48.302395912441696,48.242962413760566,0.12319620460160209
96,HT40-SGI-MCS6,100,10,89.90590518786618,94.84338495792187,-5.205929514479314
96,HT40-SGI-MCS6,100,50,86.8883681924065,86.36305781744709,0.6082581930688588
96,HT40-SGI-MCS6,100,100,74.50560345904339,77.8458138829233,-4.290802879784185
96,HT40-SGI-MCS6,100,nodelay,88.54353751156994,95.06530757209076,-6.860305012504353
96,HT40-SGI-MCS6,nolim,10,90.25597442532343,93.62008336885135,-3.5933624735984884
96,HT40-SGI-MCS6,nolim,50,83.35878275309801,86.93352264762211,-4.112038469916852
96,HT40-SGI-MCS6,nolim,100,59.266536089276556,76.5419622049254,-22.56987620646232
96,HT40-SGI-MCS6,nolim,nodelay,86.06181656627425,97.90687284083896,-12.09828884415548
104,HT40-SGI-MCS12,20,10,19.456269330089743,19.828393072226785,-1.8767216323660023
104,HT40-SGI-MCS12,20,50,19.66596686608231,19.89828019127225,-1.1675045428892665
104,HT40-SGI-MCS12,20,100,19.490947614813454,19.595333504453574,-0.5327079001559013
104,HT40-SGI-MCS12,20,nodelay,18.966865071503264,18.91972098132845,0.24917962702166846
104,HT40-SGI-MCS12,50,10,48.512462391799666,48.5347827362373,-0.04598834728267166
104,HT40-SGI-MCS12,50,50,43.15316481678078,48.12625997744169,-10.333433686706508
104,HT40-SGI-MCS12,50,100,47.70820979683984,46.03006725281687,3.6457529701312184
104,HT40-SGI-MCS12,50,nodelay,48.58251000380878,48.336222670549304,0.5095295404817265
104,HT40-SGI-MCS12,100,10,91.93449496399607,91.88600301511279,0.05277403227051451
104,HT40-SGI-MCS12,100,50,94.56714622698692,92.44372785913218,2.296984789590541
104,HT40-SGI-MCS12,100,100,66.33822814030496,86.16613899338357,-23.0112560278477
104,HT40-SGI-MCS12,100,nodelay,95.70791805804441,92.71177075769779,3.2316795115229238
104,HT40-SGI-MCS12,nolim,10,111.73778457676458,122.62904906682515,-8.88147186408133
104,HT40-SGI-MCS12,nolim,50,91.10545843279694,93.97055232879966,-3.0489273767146288
104,HT40-SGI-MCS12,nolim,100,90.22179094754368,93.09831273902235,-3.0897679096959254
104,HT40-SGI-MCS12,nolim,nodelay,117.06350814291712,123.8053497053806,-5.445517159401465
105,HT40-SGI-MCS13,20,10,19.80559168555326,19.89870884144529,-0.467955768557634
105,HT40-SGI-MCS13,20,50,19.677355907640685,19.828404385194105,-0.7617782783682197
105,HT40-SGI-MCS13,20,100,19.56081125560971,18.057586750736245,8.324614610045696
105,HT40-SGI-MCS13,20,nodelay,19.269885718828906,19.32745521320729,-0.2978638095047541
105,HT40-SGI-MCS13,50,10,47.1486121658256,48.51080543681618,-2.808020313669694
105,HT40-SGI-MCS13,50,50,48.24399901593527,43.9206906357628,9.843443528759494
105,HT40-SGI-MCS13,50,100,47.406030105556034,47.74226976666138,-0.7042808453571745
105,HT40-SGI-MCS13,50,nodelay,46.962856887371466,47.090214734402174,-0.27045501437831887
105,HT40-SGI-MCS13,100,10,96.21972514692364,96.20629829019485,0.013956317795623136
105,HT40-SGI-MCS13,100,50,94.80064100687733,95.58947280195984,-0.8252287327881802
105,HT40-SGI-MCS13,100,100,60.61839678491836,68.08309591635833,-10.964100605252334
105,HT40-SGI-MCS13,100,nodelay,96.25619719437465,96.18385508260748,0.0752123230089286
105,HT40-SGI-MCS13,nolim,10,141.84473600899986,143.22567863920446,-0.9641725166359952
105,HT40-SGI-MCS13,nolim,50,96.80295245873255,140.53698583483353,-31.119233927145356
105,HT40-SGI-MCS13,nolim,100,106.92840214348014,134.57390822343604,-20.542991167392902
105,HT40-SGI-MCS13,nolim,nodelay,138.9885951374419,148.78202302592,-6.582400003239604
106,HT40-SGI-MCS14,20,10,19.724032906650613,19.92158356127983,-0.991641322194804
106,HT40-SGI-MCS14,20,50,19.141197283405152,19.338935949325187,-1.0224898951947496
106,HT40-SGI-MCS14,20,100,19.561091691677223,19.65341529469589,-0.4697585719036986
106,HT40-SGI-MCS14,20,nodelay,19.30477785358223,19.26919388463744,0.18466765739049187
106,HT40-SGI-MCS14,50,10,48.64089758675154,47.17105020516898,3.115994609383311
106,HT40-SGI-MCS14,50,50,48.290387526418336,48.324313964244425,-0.0702057309105138
106,HT40-SGI-MCS14,50,100,40.91636015671716,44.52697646559747,-8.10882883923177
106,HT40-SGI-MCS14,50,nodelay,48.24499157536385,48.09170665955435,0.31873461446194573
106,HT40-SGI-MCS14,100,10,96.23278443663223,96.29929996232802,-0.06907166066815888
106,HT40-SGI-MCS14,100,50,82.11282964440208,84.41679562550173,-2.7292743867236284
106,HT40-SGI-MCS14,100,100,90.37323753688223,88.33233657925842,2.3104799857666563
106,HT40-SGI-MCS14,100,nodelay,96.24438676220535,93.4685109421907,2.9698513349929128
106,HT40-SGI-MCS14,nolim,10,166.75383309192486,169.8708505366932,-1.8349336775087581
106,HT40-SGI-MCS14,nolim,50,140.5046203363235,160.5864903130991,-12.505329643621643
106,HT40-SGI-MCS14,nolim,100,124.1148918271508,134.81921678862858,-7.939762013497058
106,HT40-SGI-MCS14,nolim,nodelay,147.30723258571612,169.0425613216857,-12.857903102052234
